job_title,company_name,company_location,time,job_type,work_location,level,experince_years,job_skills,url
"Mechanical and Electrical Design Engineer","Icontracting","Mohandessin, Giza, Egypt","2 months ago","Full Time","On-site","Experienced","2 - 5 Yrs of Exp","Creative/Design/Art - Engineering - Mechanical/Electrical - Design - AutoCAD - Engineering - Mechanical Engineering - Electrical Engineering - 3D","https://wuzzuf.net/jobs/p/pNMTxiBG5DlF-Mechanical-and-Electrical-Design-Engineer-Icontracting-Giza-Egypt"
"Water Expert Consultant","Exco Egypt","Nasr City, Cairo, Egypt","11 days ago","Full Time","On-site","Manager","12 - 16 Yrs of Exp","Strategy/Consulting - Engineering - Other - Water Treatment - Water Filtration","https://wuzzuf.net/jobs/p/ThIY2VGCCj8R-Water-Expert-Consultant-Exco-Egypt-Cairo-Egypt"
"Area sales manager (construction chemicals)","Horizon Chemical for Special Chemicals","Stanley, Alexandria, Egypt","2 months ago","Full Time","On-site","Manager","10 - 20 Yrs of Exp","Engineering - Construction/Civil/Architecture - Operations/Management - Sales/Retail - Sales - Construction Engineering - Construction Field - Construction Management - Construction Materials - construction chemicals - construction chemical","https://wuzzuf.net/jobs/p/vHG907b1Frmh-Area-sales-manager-construction-chemicals-Horizon-Chemical-for-Special-Chemicals-Alexandria-Egypt"
"Mobile App Technical Lead","Confidential","New Cairo, Cairo, Egypt","1 month ago","Full Time","Hybrid","Manager","6 - 9 Yrs of Exp","IT/Software Development - Mobile Application Development - iOS Development - Android Development - Information Technology (IT)","https://wuzzuf.net/jobs/p/3BjAynb1b4fs-Mobile-App-Technical-Lead-Cairo-Egypt"
"Customer experience Coordinator","Hamza Group","Dokki, Giza, Egypt","1 month ago","Full Time","On-site","Experienced","2 - 3 Yrs of Exp","Other - Coordinator - cx - system","https://wuzzuf.net/jobs/p/5vH7vzidHZka-Customer-experience-Coordinator-Hamza-Group-Giza-Egypt"
"Full Stack Developer (Dot Net + Angular)","softprimes","Cairo, Egypt","27 days ago","Full Time","Remote","Experienced","1 - 5 Yrs of Exp","IT/Software Development - HTML5 - CSS3 - Software Development - Full Stack","https://wuzzuf.net/jobs/p/UNPtLvN8CH2O-Full-Stack-Developer-Dot-Net-Angular-softprimes-Cairo-Egypt"
"IT Manager","Hauberk capital","Nasr City, Cairo, Egypt","1 month ago","Full Time","On-site","Manager","7 - 10 Yrs of Exp","IT/Software Development - Agile - Communication skills - ERP - Information Technology (IT) - Project Management - Software","https://wuzzuf.net/jobs/p/ItTaE6iZAXwW-IT-Manager-Hauberk-capital-Cairo-Egypt"
"ERP Senior Specialist","Kandil Industries","10th of Ramadan City, Cairo, Egypt","2 months ago","Full Time","On-site","Experienced","4 - 8 Yrs of Exp","IT/Software Development - Analyst/Research - business - ERP - ERP Solutions - ERP System - Odoo ERP - Odoo Development - Odoo","https://wuzzuf.net/jobs/p/tonUZnriClhQ-ERP-Senior-Specialist-Kandil-Industries-Cairo-Egypt"
"Regional Sales Manager","Ortho-House for Medical Services","Alexandria, Egypt","2 months ago","Full Time","On-site","Manager","10 - 12 Yrs of Exp","Medical/Healthcare - Manager - Regional Sales - sales skills - Sales Target - Sales - Customer Service","https://wuzzuf.net/jobs/p/LSOfTtvCBW9b-Regional-Sales-Manager-Ortho-House-for-Medical-Services-Alexandria-Egypt"
"Technical Support Engineer Intern","classera","New Cairo, Cairo, Egypt","12 days ago","Internship","Hybrid","Entry Level","None","R&D/Science - IT/Software Development - Engineering - Telecom/Technology - Communication skills - Customer Service - Hardware - Information Technology (IT) - Troubleshooting - Technical Support - Microsoft Office","https://wuzzuf.net/internship/ARTYmXd0Wfc3-Technical-Support-Engineer-Intern-classera-Cairo-Egypt"
